year,state,type,energySrc,amount,region
1990,AK,Total Electric Power Industry,Total,5599506,west
1990,AK,Total Electric Power Industry,Coal,510573,west
1990,AK,Total Electric Power Industry,Hydroelectric Conventional,974521,west
1990,AK,Total Electric Power Industry,Natural Gas,3466261,west
1990,AK,Total Electric Power Industry,Petroleum,497116,west
1990,AK,Total Electric Power Industry,Wind,0,west
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,151035,west
1990,AK,"Electric Generators, Electric Utilities",Total,4493024,west
1990,AK,"Electric Generators, Electric Utilities",Coal,311960,west
1990,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,974521,west
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,2869638,west
1990,AK,"Electric Generators, Electric Utilities",Petroleum,336905,west
1990,AK,"Electric Generators, Electric Utilities",Wind,0,west
1990,AK,"combined Heat and Power, Industrial Power",Total,840949,west
1990,AK,"combined Heat and Power, Industrial Power",Natural Gas,596623,west
1990,AK,"combined Heat and Power, Industrial Power",Petroleum,93291,west
1990,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,151035,west
1990,AK,"combined Heat and Power, Commercial Power",Total,265533,west
1990,AK,"combined Heat and Power, Commercial Power",Coal,198613,west
1990,AK,"combined Heat and Power, Commercial Power",Petroleum,66920,west
1991,AK,Total Electric Power Industry,Total,5389828,west
1991,AK,Total Electric Power Industry,Coal,520514,west
1991,AK,Total Electric Power Industry,Hydroelectric Conventional,896113,west
1991,AK,Total Electric Power Industry,Natural Gas,3319395,west
1991,AK,Total Electric Power Industry,Petroleum,513425,west
1991,AK,Total Electric Power Industry,Wind,0,west
1991,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,140381,west
1991,AK,"Electric Generators, Electric Utilities",Total,4286431,west
1991,AK,"Electric Generators, Electric Utilities",Coal,325914,west
1991,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,896113,west
1991,AK,"Electric Generators, Electric Utilities",Natural Gas,2657316,west
1991,AK,"Electric Generators, Electric Utilities",Petroleum,407088,west
1991,AK,"Electric Generators, Electric Utilities",Wind,0,west
1991,AK,"combined Heat and Power, Industrial Power",Total,898859,west
