year,state,type,energySrc,amount,region
1990,AK,Total Electric Power Industry,Total,5599506,West
1990,AK,Total Electric Power Industry,Coal,510573,West
1990,AK,Total Electric Power Industry,Hydroelectric Conventional,974521,West
1990,AK,Total Electric Power Industry,Natural Gas,3466261,West
1990,AK,Total Electric Power Industry,Petroleum,497116,West
1990,AK,Total Electric Power Industry,Wind,0,West
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,151035,West
1990,AK,"Electric Generators, Electric Utilities",Total,4493024,West
1990,AK,"Electric Generators, Electric Utilities",Coal,311960,West
1990,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,974521,West
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,2869638,West
1990,AK,"Electric Generators, Electric Utilities",Petroleum,336905,West
1990,AK,"Electric Generators, Electric Utilities",Wind,0,West
1990,AK,"Combined Heat and Power, Industrial Power",Total,840949,West
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas,596623,West
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum,93291,West
1990,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,151035,West
1990,AK,"Combined Heat and Power, Commercial Power",Total,265533,West
1990,AK,"Combined Heat and Power, Commercial Power",Coal,198613,West
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum,66920,West
1991,AK,Total Electric Power Industry,Total,5389828,West
1991,AK,Total Electric Power Industry,Coal,520514,West
1991,AK,Total Electric Power Industry,Hydroelectric Conventional,896113,West
1991,AK,Total Electric Power Industry,Natural Gas,3319395,West
1991,AK,Total Electric Power Industry,Petroleum,513425,West
1991,AK,Total Electric Power Industry,Wind,0,West
1991,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,140381,West
1991,AK,"Electric Generators, Electric Utilities",Total,4286431,West
1991,AK,"Electric Generators, Electric Utilities",Coal,325914,West
1991,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,896113,West
1991,AK,"Electric Generators, Electric Utilities",Natural Gas,2657316,West
1991,AK,"Electric Generators, Electric Utilities",Petroleum,407088,West
1991,AK,"Electric Generators, Electric Utilities",Wind,0,West
1991,AK,"Combined Heat and Power, Industrial Power",Total,898859,West
